"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"😑","U+1F611","[我想静静]","https://www.emojiall.com/images/60/douyin/1f611.png","https://www.emojiall.com/en/emoji/%F0%9F%98%91","mapped","expressionless face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f611png.png"
"🙁","U+1F641","[委屈]","https://www.emojiall.com/images/60/douyin/1f641-new.png","https://www.emojiall.com/en/emoji/%F0%9F%99%81","mapped","slightly frowning face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f641-newpng.png"
"😘","U+1F618","[飞吻]","https://www.emojiall.com/images/60/douyin/1f618.png","https://www.emojiall.com/en/emoji/%F0%9F%98%98","mapped","face blowing a kiss","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f618png.png"
"👋","U+1F44B","[再见]","https://www.emojiall.com/images/60/douyin/1f44b.png","https://www.emojiall.com/en/emoji/%F0%9F%91%8B","mapped","waving hand","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f44bpng.png"
"🎧","U+1F3A7","[听歌]","https://www.emojiall.com/images/60/douyin/1f3a7.png","https://www.emojiall.com/en/emoji/%F0%9F%8E%A7","mapped","headphone","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f3a7png.png"
"😡","U+1F621","[发怒]","https://www.emojiall.com/images/60/douyin/1f621.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A1","mapped","enraged face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f621png.png"
"😞","U+1F61E","[绝望的凝视]","https://www.emojiall.com/images/60/douyin/1f61e.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9E","mapped","disappointed face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f61epng.png"
"🐶","U+1F436","[看]","https://www.emojiall.com/images/60/douyin/1f436.png","https://www.emojiall.com/en/emoji/%F0%9F%90%B6","mapped","dog face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f436png.png"
"🐻","U+1F43B","[熊吉]","https://www.emojiall.com/images/60/douyin/1f43b.png","https://www.emojiall.com/en/emoji/%F0%9F%90%BB","mapped","bear","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f43bpng.png"
"💀","U+1F480","[骷髅]","https://www.emojiall.com/images/60/douyin/1f480.png","https://www.emojiall.com/en/emoji/%F0%9F%92%80","mapped","skull","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f480png.png"
"🌚","U+1F31A","[黑脸]","https://www.emojiall.com/images/60/douyin/1f31a.png","https://www.emojiall.com/en/emoji/%F0%9F%8C%9A","mapped","new moon face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f31apng.png"
"😁","U+1F601","[呲牙]","https://www.emojiall.com/images/60/douyin/1f601.png","https://www.emojiall.com/en/emoji/%F0%9F%98%81","mapped","beaming face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f601png.png"
